Date,Wind Speed,Wind Direction,City,ICAO
01/01/2007,24.3164675,255.2331756,Multan,MULT
01/01/2007,28.7483637,104.9715604,Islamabad,ISLA
01/01/2007,27.18815403,170.9150931,Gujranwala,GUJR
01/01/2007,8.418232852,268.3046295,Karachi,KARA
01/01/2007,1.945127119,648.329295,Sialkot,SIAL
01/01/2007,5.39515811,239.18126,Lahore,LAHO
01/01/2007,5.084001221,5.8452507,Rawalpindi,RAWA
01/01/2007,8.164152036,344.3545634,Quetta,QUET
01/01/2007,18.95246079,350.5469839,Gwadar,GWAD
01/01/2007,29.84027814,314.3941724,Peshawar,PESH
01/01/2007,1.934562573,245.0238878,Sukkur,SUKK
01/01/2007,9.469713184,5.04359491,Faisalabad,FAIS
02/01/2007,1.31175323,74.40483251,Multan,MULT
02/01/2007,7.814234775,113.973561,Islamabad,ISLA
02/01/2007,15.67670333,76.89805728,Gujranwala,GUJR
02/01/2007,2.63178285,281.2603007,Karachi,KARA
02/01/2007,9.668561181,91.27994043,Sialkot,SIAL
02/01/2007,11.6086373,193.7215135,Lahore,LAHO
02/01/2007,10.46401349,55.1193356,Rawalpindi,RAWA
02/01/2007,2.779698941,26.30229299,Quetta,QUET
02/01/2007,7.699320417,225.6054343,Gwadar,GWAD
02/01/2007,20.87736656,190.5349348,Peshawar,PESH
02/01/2007,26.6645374,140.2857724,Sukkur,SUKK
02/01/2007,28.9135626,199.8654177,Faisalabad,FAIS
03/01/2007,16.81166421,222.9623202,Multan,MULT
03/01/2007,26.09860456,326.129884,Islamabad,ISLA
03/01/2007,6.07448797,2.97128526,Gujranwala,GUJR
03/01/2007,28.5155187,34.81602656,Karachi,KARA
03/01/2007,1.3413507,270.4193205,Sialkot,SIAL
03/01/2007,7.625533982,324.2308812,Lahore,LAHO
03/01/2007,24.12038108,2.087257268,Rawalpindi,RAWA
03/01/2007,15.67214488,237.2907556,Quetta,QUET
03/01/2007,5.085530718,753.550237,Gwadar,GWAD
03/01/2007,12.575503,3.36981578,Peshawar,PESH
03/01/2007,4.814725988,10.89293191,Sukkur,SUKK
03/01/2007,3.84217525,304.9092514,Faisalabad,FAIS
04/01/2007,6.585961428,80.18321126,Multan,MULT
04/01/2007,17.49474296,234.7947497,Islamabad,ISLA
04/01/2007,17.09130894,106.53574,Gujranwala,GUJR
04/01/2007,25.04545381,314.2173036,Karachi,KARA
